what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1331308437170
executed,command,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui.commands.RunLast",1331308440311
activated,editor,org.eclipse.ui.editors,3.6.0.v20100520-0800,"org.eclipse.ui.DefaultTextEditor",1331308444404
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1331308449498
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1331308450920
executed,command,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui.commands.RunLast",1331308452576
executed,command,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.edit.text.java.add.block.comment",1331308469826
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1331308472967
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.selectAll",1331308474982
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1331308475357
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1331308478436
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1331308502951
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1331308505201
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1331308505217
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1331308505217
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1331309290357
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1331309294623
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1331309352420
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1331309353279
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1331309354092
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1331309371936
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1331309377389
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1331309395748
executed,command,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui.commands.RunLast",1331309417857
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1331309419748
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1331309420561
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1331309432545
executed,command,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui.commands.RunLast",1331309435029
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1331309436014
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1331309450732
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1331309450732
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1331309450826
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1331309455123
